miRNA,gene
hsa-miR-206_st,GNPNAT1
hsa-miR-206_st,GNPTAB
hsa-miR-206_st,GOLPH3
hsa-miR-206_st,ANKRD13A
hsa-miR-206_st,GPD2
hsa-miR-206_st,ANKRD13C
hsa-miR-206_st,GPR158
hsa-miR-206_st,GRK6
hsa-miR-206_st,GTDC1
hsa-miR-206_st,GTF2B
hsa-miR-206_st,GXYLT1
hsa-miR-206_st,HACE1
hsa-miR-206_st,HIAT1
hsa-miR-206_st,HIGD1A
hsa-miR-206_st,HMGB1
hsa-miR-206_st,HMGN3
hsa-miR-206_st,HNRNPU
hsa-miR-206_st,ANP32E
hsa-miR-206_st,HSP90B1
hsa-miR-206_st,IL6ST
hsa-miR-206_st,IPMK
hsa-miR-206_st,IPO8
hsa-miR-206_st,JAM3
hsa-miR-206_st,JARID2
hsa-miR-206_st,JMY
hsa-miR-206_st,KDM5C
hsa-miR-206_st,KIAA1522
hsa-miR-206_st,KIAA2022
hsa-miR-206_st,KIF2A
hsa-miR-206_st,KLF13
hsa-miR-206_st,KPNB1
hsa-miR-206_st,KTN1
hsa-miR-206_st,ARCN1
hsa-miR-206_st,ARF4
hsa-miR-206_st,LIN7C
hsa-miR-206_st,LMBR1
hsa-miR-206_st,LRCH3
hsa-miR-206_st,MAML2
hsa-miR-206_st,MAP4K2
hsa-miR-206_st,MAP4K3
hsa-miR-206_st,MARCKS
hsa-miR-206_st,MATR3
hsa-miR-206_st,MCTP1
hsa-miR-206_st,MED14
hsa-miR-206_st,ABL2
hsa-miR-206_st,MET
hsa-miR-206_st,METRNL
hsa-miR-206_st,MGAT4A
hsa-miR-206_st,MGAT5
hsa-miR-206_st,MIER1
hsa-miR-206_st,MKL2
hsa-miR-206_st,MON2
hsa-miR-206_st,MPP5
hsa-miR-206_st,MPP7
hsa-miR-206_st,MRPL35
hsa-miR-206_st,ARID2
hsa-miR-206_st,MTHFD2
hsa-miR-206_st,MTMR12
hsa-miR-206_st,MTSS1
hsa-miR-206_st,MYO1E
hsa-miR-206_st,MYO9A
hsa-miR-206_st,NAA20
hsa-miR-206_st,NANP
hsa-miR-206_st,NAV3
hsa-miR-206_st,NBEA
hsa-miR-206_st,NCOA3
hsa-miR-206_st,NDFIP2
hsa-miR-206_st,NDRG3
hsa-miR-206_st,NETO1
hsa-miR-206_st,NRCAM
hsa-miR-206_st,NSD1
hsa-miR-206_st,NUCKS1
hsa-miR-206_st,NXT2
hsa-miR-206_st,OSBPL8
hsa-miR-206_st,OSTF1
hsa-miR-206_st,OTUD5
hsa-miR-206_st,OTX2
hsa-miR-206_st,PAX6
hsa-miR-206_st,PDCD10
hsa-miR-206_st,PDE7A
hsa-miR-206_st,PDHA1
hsa-miR-206_st,PFN2
hsa-miR-206_st,PGR
hsa-miR-206_st,PHKG2
hsa-miR-206_st,PHLDA2
hsa-miR-206_st,PHLPP2
hsa-miR-206_st,PI4KA
hsa-miR-206_st,PIK3C2A
hsa-miR-206_st,PLA2G4A
hsa-miR-206_st,PLAG1
hsa-miR-206_st,PLD1
hsa-miR-206_st,ACAP2
hsa-miR-206_st,PPP4R2
hsa-miR-206_st,PPTC7
hsa-miR-206_st,PTGS1
hsa-miR-206_st,PTPLAD1
hsa-miR-206_st,PTPN2
hsa-miR-206_st,PTPN4
hsa-miR-206_st,PTPRA
hsa-miR-206_st,PTPRD
hsa-miR-206_st,PTPRG
hsa-miR-206_st,ATP6AP2
hsa-miR-206_st,RAB5A
hsa-miR-206_st,ATP6V1A
hsa-miR-206_st,RAD54L2
hsa-miR-206_st,ATP6V1B2
hsa-miR-206_st,RALGAPB
hsa-miR-206_st,RAPGEF2
hsa-miR-206_st,RASA1
hsa-miR-206_st,RBM27
hsa-miR-206_st,RCAN3
hsa-miR-206_st,RFFL
hsa-miR-206_st,RFX3
hsa-miR-206_st,RICTOR
hsa-miR-206_st,RNF111
hsa-miR-206_st,RNF14
hsa-miR-206_st,RNF141
hsa-miR-206_st,RNF145
hsa-miR-206_st,RNF150
hsa-miR-206_st,RNF213
